Exercice;Mois;Code LV;Lieu de vente;Code regroupement;Regroupement;Total HT;Total MS;Type
{AnneeCourante};01/10/{AnneePrecedente};G585;Bretigny;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/11/{AnneePrecedente};G585;Bretigny;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/12/{AnneePrecedente};G585;Bretigny;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/01/{AnneeCourante};G585;Bretigny;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/02/{AnneeCourante};G585;Bretigny;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/03/{AnneeCourante};G585;Bretigny;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/04/{AnneeCourante};G585;Bretigny;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/05/{AnneeCourante};G585;Bretigny;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/06/{AnneeCourante};G585;Bretigny;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/07/{AnneeCourante};G585;Bretigny;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/08/{AnneeCourante};G585;Bretigny;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/09/{AnneeCourante};G585;Bretigny;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/10/{AnneePrecedente};G222;Frenes;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/11/{AnneePrecedente};G222;Frenes;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/12/{AnneePrecedente};G222;Frenes;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/01/{AnneeCourante};G222;Frenes;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/02/{AnneeCourante};G222;Frenes;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/03/{AnneeCourante};G222;Frenes;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/04/{AnneeCourante};G222;Frenes;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/05/{AnneeCourante};G222;Frenes;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/06/{AnneeCourante};G222;Frenes;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/07/{AnneeCourante};G222;Frenes;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/08/{AnneeCourante};G222;Frenes;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/09/{AnneeCourante};G222;Frenes;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/10/{AnneePrecedente};G223;Orsay;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/11/{AnneePrecedente};G223;Orsay;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/12/{AnneePrecedente};G223;Orsay;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/01/{AnneeCourante};G223;Orsay;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/02/{AnneeCourante};G223;Orsay;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/03/{AnneeCourante};G223;Orsay;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/04/{AnneeCourante};G223;Orsay;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/05/{AnneeCourante};G223;Orsay;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/06/{AnneeCourante};G223;Orsay;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/07/{AnneeCourante};G223;Orsay;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/08/{AnneeCourante};G223;Orsay;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/09/{AnneeCourante};G223;Orsay;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/10/{AnneePrecedente};G571;Saulx;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/11/{AnneePrecedente};G571;Saulx;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/12/{AnneePrecedente};G571;Saulx;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/01/{AnneeCourante};G571;Saulx;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/02/{AnneeCourante};G571;Saulx;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/03/{AnneeCourante};G571;Saulx;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/04/{AnneeCourante};G571;Saulx;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/05/{AnneeCourante};G571;Saulx;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/06/{AnneeCourante};G571;Saulx;GF_CR;Grand Frais Cremerie;712;16767;REEL
{AnneeCourante};01/07/{AnneeCourante};G571;Saulx;GF_CR;Grand Frais Cremerie;712;16767;REEL
